id,name,url,type,is_validated,description
1,@Formula,,language,TRUE,
2,A-0 System,https://fr.wikipedia.org/wiki/A-0_System,language,TRUE,
3,A# .NET,https://fr.wikipedia.org/wiki/A_Sharp_(.NET),language,TRUE,
4,A# (Axiom),,language,TRUE,
5,A+,https://fr.wikipedia.org/wiki/A%2B_(langage),language,TRUE,
6,A++,https://fr.wikipedia.org/wiki/A%2B%2B,language,TRUE,
7,ABAL,https://fr.wikipedia.org/wiki/ABAL,language,TRUE,
8,ABAL++,,language,TRUE,
9,ABAP,https://fr.wikipedia.org/wiki/ABAP,language,TRUE,
10,ABC,https://fr.wikipedia.org/wiki/ABC_(langage),language,TRUE,
11,ABCL/1,https://fr.wikipedia.org/wiki/ABCL/1,language,TRUE,
12,ABCL/c+,,language,TRUE,
13,ABCL/R,,language,TRUE,
14,ABCL/R2,,language,TRUE,
15,Abel,,language,TRUE,
16,ABSET,,language,TRUE,
17,ABSYS,https://fr.wikipedia.org/wiki/ABSYS,language,TRUE,
18,Abundance,,language,TRUE,
19,ACC (programming language),,language,TRUE,
20,Accent,,language,TRUE,
21,Ace DASL,,language,TRUE,
22,ACT-III,,language,TRUE,
23,ActForex,,language,TRUE,
24,Ada,https://fr.wikipedia.org/wiki/Ada_(langage),language,TRUE,
25,Adenine,https://fr.wikipedia.org/wiki/Adenine_(langage),language,TRUE,
26,Afnix,,language,TRUE,
27,Agora (programming language),,language,TRUE,
28,Aikido,,language,TRUE,
29,AIS Balise,,language,TRUE,
30,Alef,https://fr.wikipedia.org/wiki/Alef_(langage_de_programmation),language,TRUE,
31,Algebraic Logic Functional programming language,,language,TRUE,
32,Algol 60,https://fr.wikipedia.org/wiki/Algol_(langage),language,TRUE,
33,Algol 68,https://fr.wikipedia.org/wiki/Algol_68,language,TRUE,
34,Algol W,https://fr.wikipedia.org/wiki/Algol_W,language,TRUE,
35,ALI,https://fr.wikipedia.org/wiki/ALI,language,TRUE,
36,Alice (programming language),,language,TRUE,
37,Ambi,,language,TRUE,
38,Amiga E,,language,TRUE,
39,AML,,language,TRUE,
40,AMOS,https://fr.wikipedia.org/wiki/AMOS_BASIC,language,TRUE,
41,AMPLE,,language,TRUE,
42,Anubis,https://fr.wikipedia.org/wiki/Anubis_(langage),language,TRUE,
43,APDL,https://fr.wikipedia.org/wiki/ANSYS,language,TRUE,
44,APL,https://fr.wikipedia.org/wiki/APL_(langage),language,TRUE,
45,AppleScript,https://fr.wikipedia.org/wiki/AppleScript,language,TRUE,
46,Arc,https://fr.wikipedia.org/wiki/Paul_Graham#Arc,language,TRUE,
47,Ariberion,,language,TRUE,
48,Arobase (langage),,language,TRUE,
49,ASP.NET,https://fr.wikipedia.org/wiki/ASP.NET,language,TRUE,
50,Assembleur,https://fr.wikipedia.org/wiki/Assembleur,language,TRUE,
51,ATS,,language,TRUE,
52,AutoHotkey,https://fr.wikipedia.org/wiki/AutoHotkey,language,TRUE,
53,AutoIt,https://fr.wikipedia.org/wiki/AutoIt,language,TRUE,
54,Averest,https://fr.wikipedia.org/wiki/Averest,language,TRUE,
55,awk,https://fr.wikipedia.org/wiki/Awk,language,TRUE,
56,axe parser,,language,TRUE,
57,Axum (programming language),,language,TRUE,
58,B,https://fr.wikipedia.org/wiki/B_(langage),language,TRUE,
59,Bah-Lang,,language,TRUE,
60,Bash (Bourne-Again shell),https://fr.wikipedia.org/wiki/Bourne-Again_shell,language,TRUE,
61,BASIC,https://fr.wikipedia.org/wiki/BASIC,language,TRUE,
62,Basic Nspire,,language,TRUE,
63,BASICA,https://fr.wikipedia.org/wiki/GW-BASIC,language,TRUE,
64,Batch file (fichier bat),https://fr.wikipedia.org/wiki/.bat,language,TRUE,
65,bc,https://fr.wikipedia.org/wiki/Bc_(Unix),language,TRUE,
66,BCPL,https://fr.wikipedia.org/wiki/BCPL,language,TRUE,
67,BeanShell,https://fr.wikipedia.org/wiki/BeanShell,language,TRUE,
68,Beef,,language,TRUE,
69,Befunge,https://fr.wikipedia.org/wiki/Befunge,language,TRUE,
70,Bennu,,language,TRUE,
71,Bertrand,,language,TRUE,
72,BETA,,language,TRUE,
73,Bigwig,,language,TRUE,
74,Bistro,https://fr.wikipedia.org/wiki/Bistro_(langage_de_programmation),language,TRUE,
75,BitC,,language,TRUE,
76,BLISS,https://fr.wikipedia.org/wiki/BLISS_(langage_de_programmation),language,TRUE,
77,BlitzBasic,https://fr.wikipedia.org/wiki/Blitz_Basic,language,TRUE,
78,BlitzBasic,https://fr.wikipedia.org/wiki/BlitzBasic,language,TRUE,
79,Blue,,language,TRUE,
80,Blueprint Visual Scripting,,language,TRUE,
81,Bon,,language,TRUE,
82,Boo,https://fr.wikipedia.org/wiki/Boo_(langage),language,TRUE,
83,Boomerang,https://fr.wikipedia.org/wiki/Boomerang_(langage),language,TRUE,
84,Bosque,,language,TRUE,
85,Bourne shell (sh),https://fr.wikipedia.org/wiki/Bourne_shell,language,TRUE,
86,BPEL,https://fr.wikipedia.org/wiki/Business_Process_Execution_Language,language,TRUE,
87,Brainfuck,https://fr.wikipedia.org/wiki/Brainfuck,language,TRUE,
88,BUGSYS,,language,TRUE,
89,BuildProfessional,,language,TRUE,
90,C,https://fr.wikipedia.org/wiki/C_(langage),language,TRUE,
91,C shell (csh),https://fr.wikipedia.org/wiki/C_shell,language,TRUE,
92,C--,https://fr.wikipedia.org/wiki/C--_(langage_interm%C3%A9diaire),language,TRUE,
93,C/AL,,language,TRUE,
94,C#,https://fr.wikipedia.org/wiki/C_sharp,language,TRUE,
95,C++,https://fr.wikipedia.org/wiki/C%2B%2B,language,TRUE,
96,C++11,https://fr.wikipedia.org/wiki/C%2B%2B11,language,TRUE,
97,C++14,https://fr.wikipedia.org/wiki/C%2B%2B14,language,TRUE,
98,C++17,https://fr.wikipedia.org/wiki/C%2B%2B17,language,TRUE,
99,CA-Telon,,language,TRUE,
100,Caché ObjectScript,,language,TRUE,
101,Cameleon,https://fr.wikipedia.org/wiki/Cameleon_(langage),language,TRUE,
102,Caml,https://fr.wikipedia.org/wiki/Caml,language,TRUE,
